date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:59	733/733	---M--	200	added ('OK')	text/xml	date:Mon,%2011%20Jul%202022%2015:44:57%20GMT	http://www.domerama.com/xmlrpc.php?rsd	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/xmlrpc0db0.php	(from http://www.domerama.com/)
17:44:59	226/226	---M--	200	added ('Not%20Acceptable')	text/html	date:Mon,%2011%20Jul%202022%2015:44:59%20GMT	http://www.domerama.com/wp-includes/wlwmanifest.xml	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/wlwmanifest.html	(from http://www.domerama.com/)
17:44:59	91/91	---M--	200	added ('OK')	image/gif	date:Sun,%2010%20Feb%202013%2017:39:56%20GMT	http://www.domerama.com/wp-content/plugins/wp-polls/images/default_gradient/pollbg.gif	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-polls/images/default_gradient/pollbg.gif	(from http://www.domerama.com/)
17:45:00	1169/1169	---M--	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://www.google-analytics.com/plugins/ga/inpage_linkid.js	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.google-analytics.com/plugins/ga/inpage_linkid.js	(from http://www.domerama.com/)
17:45:00	706/706	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Oct%202013%2012:11:25%20GMT	http://www.domerama.com/wp-content/themes/suffusion/images/home-light.png	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/themes/suffusion/images/home-light.png	(from http://www.domerama.com/)
17:45:02	18950/18950	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Sep%202013%2011:55:36%20GMT	http://www.domerama.com/wp-content/uploads/2013/03/geodesic_plans_banner2.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2013/03/geodesic_plans_banner2.jpg	(from http://www.domerama.com/)
17:45:02	53389/53389	---M--	200	added ('OK')	text/javascript	etag:%22097407442e59a691%22	http://apis.google.com/js/plusone.js	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/apis.google.com/js/plusone.js	(from http://www.domerama.com/)
17:45:03	56768/56768	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:01%20GMT	http://www.domerama.com/calculators/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/index.html	(from http://www.domerama.com/)
17:45:03	5188/5188	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2019:48:17%20GMT	http://www.domerama.com/wp-content/uploads/2012/12/h_yurt.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2012/12/h_yurt.jpg	(from http://www.domerama.com/)
17:45:04	28685/28685	---M--	200	added ('OK')	image/jpeg	date:Fri,%2023%20Aug%202013%2012:20:31%20GMT	http://www.domerama.com/wp-content/uploads/2013/08/pacific_domes_top_discount_banner.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2013/08/pacific_domes_top_discount_banner.jpg	(from http://www.domerama.com/)
17:45:05	118524/118524	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:03%20GMT	http://www.domerama.com/calculators/1v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/1v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
17:45:07	3656/3656	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jan%202013%2019:47:25%20GMT	http://www.domerama.com/wp-content/uploads/2012/12/h_calculatora.jpg	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/uploads/2012/12/h_calculatora.jpg	(from http://www.domerama.com/)
17:45:07	122126/122126	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:04%20GMT	http://www.domerama.com/calculators/2v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/2v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
17:45:08	128729/128729	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:04%20GMT	http://www.domerama.com/calculators/3v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/3v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
17:45:09	142038/142038	---MCZ	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:45:06%20GMT	http://www.domerama.com/calculators/4v-geodesic-dome-calculator/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/calculators/4v-geodesic-dome-calculator/index.html	(from http://www.domerama.com/)
